B1.,,Actionarea acceleratorului are ca efect:,
,a.,reducerea vitezei de zbor,
,b.,dublarea vitezei de zbor,
,c.,cresterea vitezei de zbor ,X
B2.,,O parapanta omologata LTF – 1 respectiv EN – A este destinata:,
,a.,pilotilor de competitie,
,b.,pilotilor incepatori,X
,c.,exclusiv pilotilor de acrobatie,
B3.,,Riscul de twist este mai mare cand:,
,a.,chinga de piept este foarte stransa,X
,b.,folosim seleta este de tip cocoon,X
,c.,chinga de piept este foarte larga ,
B4.,,Tensiunea in comenzi creste datorita:,
,a.,cresterii presiunii in voalura,
,b.,cresterii unghiului de incidenta,X
,c.,cresterii vitezei de zbor,
B5.,,O parapanta omologata LTF 2 (EN –C) este destinata:,
,a.,exclusiv pilotilor incepatori,
,b.,exclusiv zborului in tandem,
,c.,exclusiv pilotilor cu nivel mediu/ridicat de pregatire,X
B6.,,Alungirea aripii este: ,
,a.,raportul dintre coarda medie si anvergura,X
,b.,raportul dintre profunzimea maxima a aripii si anvergura ,
,c.,raportul dintre grosimea maxima relativa a profilului si anvergura,
B7.,,Aripa de parapanta prezinta torsiune geometrica: ,
,a.,da,X
,b.,nu ,
,c.,torsiunea geometrica nu are legatura cu aerodinamica,
B8.,,Profilul aripii este dat de : ,
,a.,membranele intercheson ,X
,b.,proiectia aripii pe un plan orizontal ,
,c.,suprafata aripii desfasurata,
B9.,,Lungimea suspantelor poate influenta finetea parapantei: ,
,a.,da,X
,b.,nu ,
,c.,numai o data cu cresterea incarcarii alare. ,
B10.,,Incarcarea alara se refera la : ,
,a.,raportul dintre greutatea totala in zbor si suprafata portanta ,X
,b.,greutatea maxima in zbor ,
,c.,sarcina nimima si maxima a parapantei,
B11.,,La actionarea in jos a comenzilor unghiul de incidenta: ,
,a.,creste ,X
,b.,scade ,
,c.,ramane constant,
B12.,,Alegeti afirmatia falsa:,
,a.,parapanta are profil aerodinamic,
,b.,parapanta nu are profil aerodinamic,X
,c.,profilul aerodinamic al parapantei poate fi identificat ca proiectia acesteia pe un plan orizontal,
B13.,,Nodul pe o suspanta are drept efect:,
,a.,scade rezistenta la rupere a suspantei respective,X
,b.,creste rezistenta la rupere a suspantei respective,
,c.,nu influenteaza rezistenta la rupere a suspantelor,
B14.,,Alegeti afirmatia adevarata:,
,a.,comenzile actioneaza asupra stabilizatoarelor,
,b.,comenzile actioneaza asupra liniei de suspante B,
,c.,comenzile actioneaza asupra bordului de fuga,X
B15.,,Suspantele fac legatura dintre:,
,a.,"cordul de atac, bordul de fuga si seleta",
,b.,voalura si chingi portsuspante,X
,c.,voalura si carabinierele de acrosaj,
B16.,,Bordul de fuga este:,
,a.,partea din fata a profilului ,
,b.,partea centrala a  aripii,
,c.,partea din spate a aripii,X
B17.,,Alegeti afirmatia falsa:,
,a.,intradosul aripii este in partea inferioara a profilului,
,b.,extradosul aripii este in partea superioara a profilului,
,c.,intradosul este in partea superioara a profilului,X
B18.,,Alegeti afirmatia corecta:,
,a.,nodurile slabesc rezistenta la rupere a suspantelor,X
,b.,radiatia ultravioleta degradeaza kevlarul,X
,c.,suspantele din kevlar nu au nevoie de manta de protectie,
B19.,,Tesatura din care este construita voalura trebuie sa fie:,
,a.,deformabila atat pe urzeala cat si pe batatura,
,b.,nedeformabila pe urzeala si pe batatura,X
,c.,elastica pe orice directie,
B20.,,Alegeti afirmatia corecta:,
,a.,distanta dintre punctele de acrosaj a seletei modifica comportamentul parapantei in zbor,X
,b.,distanta dintre punctele de acrosaj a seletei modifica nu comportamentul parapantei in zbor,
,c.,distanta dintre punctele de acrosaj a seletei este importanta la testele de omologare,X
B21.,,Omolgarea parapantei arata:,
,a.,"performantele parapantei: finete maxima, viteza minima de infundare, viteza maxima",
,b.,nivelul de pilotaj necesar,X
,c.,factorul de sarcina admis,
B22.,,Alegeti afirmatia corecta:,
,a.,comenzile actioneaza asupra bordului de atac,
,b.,cu ajutorul comenzilor modificam unghiul de incidenta,X
,c.,manevra URECHI se face cu ajutorul comenzilor,
B23.,,Stabilitatea pe directie a parapantei este asigurata de:,
,a.,bordul de fuga,
,b.,efectul de pendul,
,c.,stabilizatoare (capetele de plan),X
B24.,,Membranele intercheson au rolul :,
,a.,de a mentine presiunea dinamica in interiorul voalurii,
,b.,de a prelua sarcina de pe intrados ,
