Column1,Column2,Column3,Column4,,
CC60,,60. Aerul este un amestec de diferite gaze. Cele mai importante gaze și proporțiile lor sunt,,b,b
,a,aproximativ 78% oxigen și 21% azot.,,0,b
,b,aproximativ 78% azot și 21% oxigen.,X,X,b
,c,aproximativ 78% dioxid de carbon și 21% oxigen.,,0,
,d,aproximativ 78% oxigen și 21% dioxid de carbon.,,0,
CC61,,61. Cum variază temperatura aerului în troposferă cu creșterea altitudinii?,,d,d
,a,"Scade liniar cu 0,65°C/100m până la tropopauză.",,0,d
,b,Scade liniar cu 1°C/100m până la tropopauză.,,0,d
,c,"Scade, nu liniar, dar depinzând de straturile de aer variază între 0,1°C și 1,2°C.",,0,d
,d,"Depinzând de stratul de aer poate scădea, rămâne la fel sau crește, dar înmedie scade cu 0,65°C/100m.",X,X,d
CC62,,"62. Pentru a se asigura că toți utilizatorii spațiului aerian au altimetrele reglate la fel, atmosfera a fost standardizată. Care sunt valorile pentru atmosfera standard în regiunea troposferei? Presiunea la nivelul mării și temperatura/gradientul termic",,d,d
,a,"1033,6 hPa 15°C 1°C/100m",,0,d
,b,"1013,2 hPa 15°C 0.65°C/100m",,0,d
,c,"033,6 hPa 15°C 0,5°C/100m",,0,d
,d,"1013,2 hPa 15°C 1°C/100m",X,X,d
CC63,,63. Altitudinea medie a tropopauzei la latitudinea noastră este,,c,c
,a,4.000 m deasupra nivelului mării.,,0,c
,b,5.500 m deasupra nivelului mării.,,0,c
,c,11.000 m deasupra nivelului mării.,X,X,c
,d,50.000 m deasupra nivelului mării.,,0,
CC64,,64. Presiune aerului rezultă din,,d,d
,a,rotația pământului.,,0,d
,b,polii magnetici.,,0,d
,c,particulele de apă și de praf ce plutesc în aer.,,0,d
,d,gravitație.,X,X,d
CC65,,65. Cum variază presiunea aerului o dată cu creșterea altitudinii?,,c,c
,a,Se reduce la jumătate până la tropopauză și după aceea rămâne constant.,,0,c
,b,Se reduce cu aproximativ 80hPa / 100m de altitudine.,,0,c
,c,Se reduce cu jumătate la aproximativ fiecare 5.500 m de altitudine.,X,X,c
,d,Se reduce cu jumătate la aproximativ fiecare 11.000 m de altitudine.,,0,
CC66,,66. Care este presiunea medie de la nivelul măriii (atmosfera standard) folosită de meteorologiști?,,a,a
,a,"1013,2 hPa",X,X,a
,b,"1033,6 hPa",,0,
,c,"760,0 hPa",,0,
,d,"998,7 hPa",,0,
CC67,,67. Presiunea la nivelul mării,,d,d
,a,este întotdeauna constantă.,,0,d
,b,poate în cazuri mai rare să crească față de medie.,,0,d
,c,poate în cazuri mai rare să scadă față de medie.,,0,d
,d,d)poate fi mai mare sau mai mică față de valoarea medie depinzând de situația vremii.,X,X,d
CC68,,68. Presiunea intr-un punct dat la nivelul mării depinde de,,b,b
,a,maree.,,0,b
,b,circulația globală a aerului.,X,X,b
,c,caracteristicile suprafeței.,,0,
,d,longitudine.,,0,
CC69,,69. Barometrul arată o presiune de 980 hPa la nivelul mării. Care este cea mai probabilă presiune la o altitudine de 5.500 mdeasupra nivelului mări?,,d,d
,a,1035 hPa,,0,d
,b,980 hPa,,0,d
,c,650 hPa,,0,d
,d,490 hPa,X,X,d
CC70,,70. Un copil elibereaza un balon cu volum aproximativ de 5 dm3 la nivelul mării. Care este volumul aproximativ al balonului când ajunge la altitudinea de 5.500 m deasupra nivelului mării.,,c,c
,a,"2,5 dm3",,0,c
,b,5 dm3,,0,c
,c,10 dm3,X,X,c
,d,20 dm3,,0,
CC71,,71. Care este partea atmosferei unde condițiile meteorologice ne determină vremea?,,d,d
,a,Ionosfera,,0,d
,b,Mezosfera,,0,d
,c,Stratosfera,,0,d
,d,Troposfera,X,X,d
CC72,,72. Temperatura stratului de aer de lângă sol este influențată cel mai mult de,,a,a
,a,temperatura solului.,X,X,a
,b,acțiunea radiației solare supra particulelor de aer.,,0,
,c,umiditatea relativă a aerului.,,0,
,d,unghiul de incidență a razelor solare asupra particulelor de aer.,,0,
CC73,,"73. Pentru aceeași intensitate și unghi de incidență a razelor solare, care din următoarele tipuri de sol încălzește cel mai mult stratul de aer adiacent?",,d,d
,a,Solul pietros.,,0,d
,b,Pădure tânără.,,0,d
,c,O mlaștină.,,0,d
,d,Pășune uscată.,X,X,d
CC74,,74. La aceeași altitudine deasupra nivelului mării,,c,c
,a,aerul cald e mai dens decât aerul rece.,,0,c
,b,aerul cald are aceeași densitate ca aerul rece.,,0,c
,c,aerul cald e mai puțin dens ca aerul rece.,X,X,c
,d,densitatea aerului depinde de gradientul adiabatic.,,0,
CC75,,75. Cum variază temperatura unei bule de aer pe măsură ce se ridică de la sol fără a creea un nor?,,c,c
,a,Temperatura crește cu aproximativ 0.5°C /100m pentru că radiația solară devine tot mai intensă.,,0,c
,b,"Nu se poate determina, pentru că temperatura se egalizează cu cea a aerului din jur.c) Temperatura se reduce cu aproximativ 0.65°C /100m, cum de fapt e cazul în toată troposfera.",,0,c
,c,Temperatura se reduce cu aproximativ 1°C /100m pentru că presiunea se reduce o dată cu creșterea altitudinii.,X,X,c
CC76,,76. Cum variază temperatura unei bule de aer care urcă?,,a,a
,a,Pentru că presiunea scade o dată cu creșterea altitudinii rezultă extinderea bulei și pierdere de energie sub formă de căldură.,X,X,a
,b,"Bula se va răci pentru că s-a îndepărtat de sursa de căldură, adică suprafata solului.",,0,
,c,"Pentru că unghiul radiației solare se reduce o dată cu creșterea altitudinii, deci bula de aer primește mai puțină căldură de cât la nivelul solului.",,0,
,d,"Din cauză că bula de aer trebuie să evapore apă pe măsură ce urcă, există o relație între creșterea altitudinii și reducerea temperaturii.",,0,
CC77,,77. Cum variază volumul și temperatura unei mase de aer care coboară?,,c,c
,a,"Volumul crește, temperatura scade.",,0,c
,b,"Volumul crește, temperatura crește.",,0,c
,c,"Volumul scade, temperatura crește.",X,X,c
,d,"Volumul scade, temperatura scade.",,0,
CC78,,78. Care este principalul mod de încălzire în timpul zilei a unei mase de aer la 100m deasupra solului?,,a,a
,a,Aerul adiacent solului se încălzește și urcă în timp ce aerul de la altitudine coboară la sol unde este încălzit.,X,X,a
,b,"Radiația UV solară este absorbită de sol iar spectrul infraroșu este reflectat de sol, încălzind aerul mai mult sau mai puțin, proporțional cu distanța de la suprafața solului.",,0,
,c,"Radiația solară încarcă particulele de aer cu energie (ionizare), care este ulterior eliberată bub formă de căldură.",,0,
,d,"Stratul de aer adiacent solului se încălzește și, fiind un bun conductor termic,transferă căldura straturilor superioare de aer.",,0,
CC79,,"79. În medie temperatura din troposferă se reduce o dată cu creșterea altitudinii. Totuși, se poate întâmpla ca în anumite zone temperatura să crească. Cum se numește acest fenomen?",,d,d
,a,Superadiabatic,,0,d
,b,Izoterm,,0,d
,c,Restitutie,,0,d
,d,Inversiune,X,X,d
CC80,,"80. În medie temperatura din troposferă se reduce o dată cu creșterea altitudinii. Totuși, se poate întâmpla ca în anumite zone temperatura să rămănă constantă. Cum se numește acest fenomen?",,b,b
,a,Superadiabatic,,0,b
,b,Izotermă,X,X,b
,c,Restituție,,0,
,d,Inversiune,,0,
CC81,,"81. O bulă de aer se încălzește, se desprinde de sol și începe să se ridice. Cât de sus se poate ridica bula?",,c,c
,a,Până se reduce transferul de căldură de la sol.,,0,c
,b,Până când presiunea bulei este mai mică de cât cea a aerului din jur.,,0,c
,c,Până când diferența dintre temperatura ei si a aerului din jur se reduce la 0.,X,X,c
,d,Până când diferența dintre temperatura ei și punctul de rouă se reduce la 0.,,0,
CC82,,82. O inversiune este un strat de aer în care temperatura,,b,b
,a,scade o dată cu creșterea altitudinii.,,0,b
,b,crește o dată cu creșterea altitudinii.,X,X,b
,c,este deasupra nivelului de îngheț.,,0,
,d,este constantă.,,0,
CC83,,83. O izotermă este un strat de aer în care temperatura,,d,d
,a,scade o dată cu creșterea altitudinii.,,0,d
,b,crește o dată cu creșterea altitudinii.,,0,d
,c,este deasupra nivelului de îngheț.,,0,d
,d,este constantă.,X,X,d
CC84,,84. Inversiunile și izotermele sunt,,d,d
,a,puncte de origine și declanșare ale aerului termic care urcă.,,0,d
,b,elemente instabile stratificate ale troposferei.,,0,d
,c,stabile sau instabile depinzând de temperatură.,,0,d
,d,bariere pentru masele de aer termic care urcă.,X,X,d
CC85,,85. Gradientul de temperatură este definit ca fiind,,d,d
,a,diferența de altitudine per °C într-o masă de aer.,,0,d
,b,diferența de presiune per km între două puncte geografice diferite.,,0,d
,c,unitatea de măsură a temperaturii.,,0,d
,d,diferența de temperatură pentru o creștere de 100 m a altitudinii.,X,X,d
CC86,,86. Gradientul temperaturii unui strat izotermic este,,a,a
,a,0°C / 100m,X,X,a
,b,0.5°C / 100m,,0,
,c,0.65°C / 100m,,0,
,d,1°C / 100m,,0,
CC87,,87. Unde găsim de obicei o inversiune?,,b,b
,a,La baza norilor cumulus.,,0,b
,b,La granița dintre un strat de aer cețos de la sol și un strat de aer clar de la altitudine.,X,X,b
,c,Unde este o diferență temperatură-punct de rouă de 0.,,0,
,d,Deasupra unei convergențe.,,0,
CC88,,88. Care din următoarele semne indică prezența unei inversiuni?,,c,c
,a,Un nor cumulus.,,0,c
,b,Un nor lenticular.,,0,c
,c,Un strat de ceață.,X,X,c
,d,Un nor cirus.,,0,
CC89,,89. Care din următoarele sondaje de temperatură măsurate la ora 02:00 indică prezența unei inversiuni la altitudine.,,c,c
,a,1,,0,c
,b,2,,0,c
,c,3,X,X,c
,d,4,,0,
CC90,,90. Care din următoarele sondaje de temperatură măsurate la ora 02:00 indică prezența unei inversiuni la nivelul solului.,,a,a
,a,1,X,X,a
,b,2,,0,
,c,3,,0,
,d,4,,0,
CC91,,91. Care din următoarele sondaje de temperatură măsurate la ora 02:00 indică prezența unei zoterme.,,d,d
,a,1,,0,d
,b,2,,0,d
,c,3,,0,d
,d,4,X,X,d
CC92,,92. Ce presupune condensarea?,,c,c
,a,Trecerea din stare lichidă în stare solidă.,,0,c
,b,Trecerea din stare lichidă în stare gazoasă.,,0,c
,c,Trecerea din stare gazoasă în stare lichidă.,X,X,c
,d,Trecerea din stare gazoasă în stare solidă.,,0,
CC93,,93. Care din următoarele schimbări de stare necesită energie sub formă de căldură?,,b,b
,a,Trecerea din stare lichidă în stare solidă.,,0,b
,b,Trecerea din stare solidă în stare lichidă.,X,X,b
,c,Trecerea din stare gazoasă în stare lichidă.,,0,
,d,Trecerea din stare gazoasă în stare solidă.,,0,
CC94,,94. Care din următoarele schimbări de stare necesită energie sub formă de căldură?,,d,d
,a,Trecerea din stare lichidă în stare solidă.,,0,d
,b,Trecerea din stare gazoasă în stare lichidă.,,0,d
,c,Trecerea din stare gazoasă în stare solidă.,,0,d
,d,Trecerea din stare lichidă în stare gazoasă.,X,X,d
CC95,,95. Care din următoarele schimbări de stare cedează energie sub formă de căldură?,,c,c
,a,Trecerea din stare lichidă în stare gazoasă.,,0,c
,b,Trecerea din stare solidă în stare gazoasă.,,0,c
,c,Trecerea din stare gazoasă în stare lichidă.,X,X,c
,d,Trecerea din stare solidă în stare lichidă.,,0,
CC96,,96. Care din următoarele schimbări de stare cedează energie sub formă de căldură?,,a,a
,a,Trecerea din stare lichidă în stare solidă.,X,X,a
,b,Trecerea din stare solidă în stare gazoasă.,,0,
,c,Trecerea din stare lichidă în stare gazoasă.,,0,
,d,Trecerea din stare solidă în stare lichidă.,,0,
