Column1,Column2,Column3,Column4
D1.,,Ce este navigatia aeriana ,
,a,o informare,
,b,un sistem de deplasare al aeronavelor,
,c,o stiinta,X
D2.,,Care este metoda de navigatie pentru zborul in VFR,
,a,observata,X
,b,estimata,
,c,izobarica,
D3.,,Cum sunt numerotate meridianele,
,a,de la est la vest,
,b,de la vest la est ,
,c,in ambele sensuri,X
D4.,,Cum sunt numerotate paralelele ,
,a,de la nord la sud,
,b,de la ecuator spre sud,
,c,de la ecuator spre nord si sud  ,X
D5.,,Ce reprezinta nivelmentul,
,a,totalitatea formelor de relief,X
,b,forme de relief specifice hartilor,
,c,reprezinta planeitatea terenului,
D6.,,Care sunt directiile principale  ,
,a,"N , NV ,  E, SE",
,b,"N , S , E , V",X
,c,"E, SE, V, NV",
D7.,,Care sunt Nordurile folosite in navigatie,
,a,Nordul adevarat,X
,b,Nordul magnetic,X
,c,Nordul izobaric,
D8.,,Ce este declinatia magnetica ,
,a,directia compas,
,b,unghiul dintre aeronava si Nord,
,c,unghiul dintre Nordul magnetic si Nordul adevarat,X
D9.,,Ce este distanta ,
,a,spatiul dintre doua puncte,X
,b,lungimea liniei care le uneste,
,c,unitatea de masura,
D10.,,Ce unitate de masura este folosit pentru inaltime in normele OACI,
,a,yardul,
,b,foot,X
,c,inch-ul,
D11.,,Care este scara hartii pentru zborul in VFR ,
,a,1: 200 000,
,b,1: 50 000,
,c,1: 500 000 ,X
D12.,,Cum se numeste meridianul prim,
,a,Pascal ,
,b,Greenwich,X
,c,Hecto,
D13.,,Cum se numeste traseul de la decolare pana la aterizare ,
,a,itinerar,
,b,traiect,X
,c,ruta,
D14.,,Pentru un zbor in VFR este nevoie de o harta ,
,a,informativa,X
,b,operativa,
,c,de ruta,
D15.,,Care sunt reperele liniare pe o harta ,
,a,"orase, lacuri, terenuri",
,b,"caii ferate , sosele, rauri",X
,c,"poduri mari, fabrici izolate, silozuri",
D16.,, La o rotatie de 24 de ore a pamantului corespund ,
,a,1800 longitudine,
,b,2300 longitudine,
,c,3600 longitudine,X
D17.,, In ce se masoara viteza vantului ,
,a,m/s,X
,b,noduri,X
,c,km/h,X
D18.,, Ce este UTC ,
,a,timpul local ,
,b,ora actuala,
,c,timpul universal coordonat,X
D19.,, Care sunt etapele planificarii zborului ,
,a,alegerea hartilor,X
,b,estimarea meteo,X
,c,trasarea traiectului,X
D20.,,  Ce este GPS ,
,a,sistem de navigatie,
,b,sistem de control,
,c,sistem de pozitie,X
D21.,, Pozitionarea in sistem GPS se face prin,
,a,sistem radio,
,b,triangulatie,X
,c,balize,
D22.,,  Cate surse minim foloseste sistemul GPS pentru stabilirea pozitiei si altitudinii,
,a,3,
,b,5,
,c,4,X
D23.,, Cate surse minim foloseste sistemul GPS pentru stabilirea pozitiei ,
,a,3  ,X
,b,12,
,c,9,
D24.,,  Ce este o altitudine barometrica ,
,a,inaltime de la nivelul marii,X
,b,inaltime care corespunde presiunii standard,
,c,inaltime dintr-un punct de referinta,
D25.,,Din ce directie bate vantul la 1350,
,a,NE,
,b,E,
,c,SE,X
D26.,,Din ce directie bate vantul la 2700,
,a,N,
,b,W,X
,c,SW,
D27.,,Din ce directie bate vantul la O0,
