Column1,Column2,Column3,Column4
E1,,Durata tipului de zbor: Deal Vale - DV in conditii de vant anabatic comparativ cu vant catabatic este:,
,a,mai lunga pe anabatic,
,b,mai scurta pe catabatic,X
,c,la fel,
E2,,Ce reguli de zbor se aplica categoriei de aeronave din care face parte parapanta:,
,a,reguli de zbor IFR,
,b,reguli de zbor VFR,X
,c,c)VFR si IFR,
E3,,La efectuarea informarii de zbor VFR in spatiul clasa G:,
,a,"se comunica: locatia, inaltimea, persoana de contact, ora de incepere",X
,b,"aveti obligatia de a respecta cerintele, limitarile si restrictiile aplicabile publicate",X
,c,in spatiul aerian de clasa G nu este necesar autorizarea zborurilor,
E4,,Cresterea vitezei fata de sol duce la:,
,a,cresterea rezistentei la înaintare,
,b,cresterea finetei,X
,c,solicitarea mai mare a structurii aripii,
E5,,La decolare este indicat sa se planifice o distanta de rezerva pentru alergare?,
,a,"da, daca vantul este slab",X
,b,"da, daca incarcarea aripii este mai mare",X
,c,"nu, daca terenul are o inclinatie mica",
E6,,Vântul influenteaza distanta de aterizare astfel:,
,a,vântul de fata reduce distanta,X
,b,vântul de fata mareste distanta,
,c,vântul de spate reduce distanta,
E7,,Aeronavele nemotorizate care zboara în spatiul aerian necontrolat sunt obligate sa respecte înaltimile minime de siguranta publicate în:,
,a,AIP Romania,
,b,RACR-RA,X
,c,Zborurile VFR nu sunt supuse restrictilor referitoare la inaltimi minime.,
E8,,Care sunt clasele de spatiu aerian în care sunt obligatorii comunicatiile radio pentru zborurile VFR:,
,a,"A,",X
,b,"C,",X
,c,"G,",
E9,,Cand nu este recomandat de a zbura in afara intervalului de greutate stabilit de producator:,
,a,sub limita inferioara,
,b,peste limita superioara,
,c,niciodata,X
E10,,Care sunt riscurile daca se zboara cu aripa uda,
,a,"nici un risc, umezeala nu afecteaza performantele",
,b,aripa se poate angaja,X
,c,aripa nu-si mai revine din eventualele evolutii,X
E11,,Prin efectuarea manevrei urechi mari este posibil sa:,
,a,creasca unghiul de incidenta pana la unghiul critic de angajare,X
,b,scada unghiul de incidenta si aripa va zbura mai rapid,
,c,nu afecteze unghiul de incidenta,
E12,,Prin actionarea acceleratorului se muta:,
,a,centrul de greutate,
,b,centrul de presiune,X
,c,centrul geometric,
E13,,Cand nu este recomandat a zbura cu aripa incarcata la limitele inferioare,
,a,pe vant cu intensitate ridicata,
,b,pe conditii cu turbulente accentuate,
,c,pe nici una din conditiile de mai sus,X
E14,,Daca forta portanta (Fz) este egala cu greutatea (G).,
,a,se obtine zborul orizontal,X
,b,se obtine viteza maxima,
,c,se obtine finetea maxima fata de sol,X
E15,,Viteza vantului este egal cu viteaza de trim a aripii,
,a,la decolare aripa va decola in verticala,X
,b,la aterizare va cobori in verticala,X
,c,cu vant de spate vom obtine viteza dubla,X
E16,,Finetea maxima obtinem fata de sol,
,a,cu vant de fata,
,b,cu vant de spate,X
,c,prin incarcarea maxima a aripii,
E17,,Care sunt factorii prin care se pot obtine performante mai bune de zbor,
,a,parapanta,X
,b,conditia meteo,X
,c,pilotul,X
E18,,De unde obtinem urmatoarea informatie: la ce viteaza si infundare se atinge finetea maxima fata de fileele de aer,
,a,din polara aripii,X
,b,din gps cu datele masurate fata de sol,
,c,din manualul aripii,
E19,,Care dintre urmatoarele factori influenteaza decolarea aeronavei:,
,a,greutatea totala in zbor,X
,b,directia si intensitatea vantului,X
,c,panta decolarii,X
E20,,Distante maxime in zbor pot fi atinse:,
,a,cu vant de spate,X
,b,cu vant de fata,
,c,cu vant nul,
E21,,O aripa incarcata spre limita maxima va avea distanta:,
,a,mai mare de alergare la aterizare pe vant nul,X
,b,mai mare de alergare pe vant de fata,
,c,mai mare de alergare pe vant de spate,X
E22,,"Cazul in care intensitatea vantului este mare, priza de aterizare se face:",X
,a,mai aproape de punctul fix si cu vant de fata,X
,b,de mai departe si cu vant de fata,
,c,de mai aproape si cu vant de spate,
E23,,Elementele planificarii zborului sunt:,
,a,"Verificarea disponibilitatii spatiului aerian, eventualele restrictii",X
,b,informare de zbor,X
,c,"conditiile meteo, alegerea locului de zbor",X
E24,,Pentru selectarea rutei zborului se va tine cont de:,
,a,"performantele aripii,",X
,b,"meteo, relieful",X
,c,spatiul aerian,X
E25,,"In spatiul aerian de clasa G, Autorizarea ATC:",
,a,este obligatorie pentru zborurile VFR,
,b,nu este obligatorie pentru zborurile VFR,X
,c,este obligatorie pentru zborurile IFR,
E26,,In Spatiul aerian de clasa G,
