A1.,,Care este riscul asociat zborului cu acceleratorul actionat:,
,a.,risc marit de inchideri ale voalurii,X
,b.,risc marit de angajare in limita de viteza,
,c.,"nici un risc, acest regim de zbor prezinta maximum de siguranta",
A2.,,In timpul unui viraj strans :,
,a.,viteza de angajare creste,X
,b.,viteza de angajare scade,
,c.,viteza de angajare ramane neschimbata,
A3.,,Cum se explica tendinta de viraj in cazul inchiderilor asimetrice:,
,a.,aripa deformata (inchisa) are rezistenta la inaintare mai mare decat cea ramasa deschisa,X
,b.,"comanda corespunzatoare aripii inchise are efect mai mare, la aceeasi cursa",
,c.,inchiderile asimetrice nu duc la tendinte de viraj sau autorotatie,
A4.,,Riscul de twist este mai mare cand:,
,a.,chinga de piept este foarte stransa,X
,b.,folosim seleta este de tip cocoon,X
,c.,chinga de piept este foarte larga ,
A5.,,In timpul saltului (tranzitie) intre doua termici este recomandat:,
,a.,sa pilotati cat mai putin folosind comenzile si cat mai mult prin balansarea laterala a corpului,X
,b.,sa pilotati cat mai mult folosind comenzile si cat mai putin  prin balansarea laterala a corpului,
,c.,sa folositi speedul pentru viraje prin actionarea lui asimetrica,
A6.,,Care este diferenta dintre vrie si spirala picata:,
,a.,in cazul vriei (negativa)  fileurile de aer se desprind de pe extrados,X
,b.,in cazul spiralei picate fileurile de aer se desprind de pe extrados,
,c.,"ambele manevre sunt identice din punct de vedere aerodinamic, este doar o diferenta de terminologie",
A7.,,Trecerea printr-o masa de aer descendenta are ca efect:,
,a.,micsorarea finetei reale,X
,b.,micsorarea finetei aerodinamice,
,c.,"cresterea finetei in zbor, prin cresterea componentei verticale a vitezei",
A8.,,Alegeti afirmatia adevarata:,
,a.,vria este o metoda de coborare rapida,
,b.,vria (negativa) este o manevra  periculoasa,X
,c.,vria si spirala picata sunt identice in cazul parapantei,
A9.,,Alegeti cea mai sigura manevra de coborare rapida:,
,a.,urechi,X
,b.,cravata,
,c.,vrie,
A10.,,In timpul manevrei URECHI controlul pe directie se face:,
,a.,exclusiv prin balansarea corpului stanga-dreapta,X
,b.,exclusv cu ajutorul comenzilor,
,c.,exclusiv cu ajutorul chingilor Last,
A11.,,In cazul cedarii comenzilor pilotajul parapantei se va face:,
,a.,cu ajutorul chingii Last (chinga spate)cu amplitudine mult mai mare decat in cazul actionarii comenzilor,
,b.,cu ajutorul chingilor B cu amplitudine mica,
,c.,cu ajutorul chingii Last ( chinga spate)cu amplitudine mult mai mica decat in cazul actionarii comenzilor,X
A12.,,La ce viteza de zbor se obtine infundarea minima:,
,a.,mai mare decat viteza la finete maxima,
,b.,la viteza minima de zbor,
,c.,la viteza mai mica decat viteza la finete maxima,X
A13.,,Decolarea se executa:,
,a.,cu viteza mica pentru a nu afecta gonflajul voalurii,
,b.,cu viteza constanta pentru a putea mentine panta de zbor,
,c.,cu alergare accelerata progresiv,X
A14.,,Enumerati fazele decolarii:,
,a.,"gonflaj, control vizual al aripii, accelerare, desprindere",X
,b.,"gonflaj, desprindere, stabilizare",
,c.,"alergare, gonflaj, desprindere, stabilizare",
A15.,,"In timpul procedurii de decolare, in zbor la panta, cine are prioritate:",
,a.,pilotul care urmeaza sa decoleze ,
,b.,pilotul care se afla in aer in zbor la panta in zona decolarii,X
,c.,daca mai exista cineva in zbor la panta decolarea este interzisa indiferent de zona de zbor,
A16.,,"In timpul zborului la panta, doi piloti se afla la acelasi nivel, fata in fata. Cine are prioritate:",
,a.,pilotul care are panta in dreapta,X
,b.,"pilotul care are panta in stanga, avand prioritate de stanga",
,c.,nu exista prioritate in zbor la panta numai in zbor termic,
A17.,,La zborul in termica cine da sensul de spiralare:,
,a.,primul pilot care a intrat in termica,X
,b.,ultimul pilot care a intrat in termica,
,c.,"fiecare pilot spiraleaza pe ce parte doreste, nu exista rrgula in acest sens",
A18.,,"In timpul zborului doua parapante se intalnesc la acelasi nivel, fata in fata. Care este procedura de evitare a abordajului:",
,a.,fiecare parapanta va vira spre dreapta,X
,b.,fiecare parapanta va vira spre stanga,
,c.,nu exista o regula in acest sens,
A19.,,Sunteti in zbor si din dreapta dvs vine un alt aparat de zbor fara motor. Care este procedura de evitare a abordajului:,
,a.,"are prioritate aparatul care vine din dreapta, dvs veti vira la stanga sau la dreapta pt degajare",X
,b.,"are prioritate aparatul care vine din stanga, adica dvs",
,c.,"are prioritate aparatul care vine din dreapta, dvs veti vira la dreapta  pt degajare",
A20.,,In timpul procedurilor de aterizare in zona sunt o parapanta si un motodeltaplan. Cine are prioritate:,
,a.,parapanta fiind aparat de zbor fara motor,X
,b.,"motodeltaplanul, avand greutate proprie mai mare",
,c.,"motodeltaplanul, avand viteza mai mare",
A21.,,Alegeti elementele obligatorii din procedura de aterizare:,
,a.,priza in U sau L,
,b.,vant de fata,X
,c.,degajarea zonei de aterizare cat mai rapid cu putinta ,X
A22.,,Alegeti afirmati corecta:,
,a.,"decolarea se face exclusiv cu vant de spate, pt a asigura o viteza corespunzatoare in timpul alergarii",
,b.,decolarea se face mentinand comenzile sus pana dupa desprindere,
,c.,alergarea in timpul decolarii se face cu viteza progresiv crescatoare,X
A23.,,Alegeti elementele periculoase din timpul procedurii de aterizare:,
,a.,vant de spate,X
,b.,zbor la viteza aproape de viteza de angajare,X
,c.,priza in U sau L,
A24.,,Alegeti elementele periculoase din timpul zborului in termica:,
,a.,spiralarea in contrasens cu ceilalti piloti aflati in aceeasi termica,X
,b.,nesustinerea virajului,X
,c.,folosirea inclinarii corpului in timpul spiralarii,
A25.,,Alegeti calitatile necesare unei zone de decolare:,
,a.,sa aiba spatiu de renuntare,X
,b.,sa aiba inclinare mai mare decat finetea parapantei,X
,c.,sa aiba prag de desprindere cat mai accentuat,
A26.,,Care este directia vantului permisa pentru decolare la panta:,
,a.,de la zero grade (vant de fata) pana la 90 de grade lateral fata masurand de la perpendiculara pe panta,
,b.,de la zero grade (vant de fata) pana la 45 de grade lateral fata masurand de la perpendiculara pe panta,X
,c.,este recomandata decolarea cu vant de spate atunci cand este cazul,
A27.,,Care este viteza de desprindere recomandata in timpul procedurii de decolare:,
,a.,viteza maxima de zbor,
,b.,viteza la finete,
,c.,viteza corespunzatoare vitezei minime de infundare,X
A28.,,Finetea adevarata a parapantei poate varia in functie de:,
,a.,regimul de zbor,X
,b.,traversarea unei mase de aer ascendente sau descendente,X
,c.,traversarea unei mase de aer turbulente,X
A29.,,Tensiunea in comenzi creste datorita:,
,a.,cresterii presiunii in voalura,
,b.,cresterii unghiului de incidenta,X
,c.,cresterii vitezei de zbor,
A30.,,"La traversarea unei zone cu descendente, pentru a pierde cat mai putina inaltime, este recomandat sa zburati la regim:",
,a.,de infundare minima,
,b.,la finete maxima,
,c.,la viteza cat mai mare,X
A31.,,"In timpul virajului, fata de zborul pe panta normala, rectilinie,  asupra aparatului de zbor actioneaza in plus:",
,a.,forta centrifuga,X
,b.,forta coriolis,
,c.,efectul coanda ,
A32.,,Pilotajul activ inseamna:,
,a.,"mentinerea unei tensiuni cat mai constante in comenzi, si folosirea balansarii laterale pentru echilibrare, in timpul zborului in turbulente",X
,b.,folosirea balansarii laterale pentru echilibrare in timpul zborului in turbulente,
,c.,folosirea exclusiva a comenzilor in timpul zborului in turbulente,
A33.,,Alegeti afirmatia corecta:,
,a.,la traversarea unei zone turbulente finetea scade,X
,b.,la traversarea unei zone descendente finetea creste,
,c.,la traversarea unei zone descendente finetea ramane neschimbata,
A34.,,O parapanta omologata LTF 2 (EN –C) este destinata:,
,a.,exclusiv pilotilor incepatori,
,b.,exclusiv zborului in tandem,
,c.,exclusiv pilotilor cu nivel mediu/ridicat de pregatire,X
A35.,,Zborul cu pasager presupune:,
,a.,licenta de pilot,
,b.,licenta de pilot calificarea tandem,X
,c.,parapanta omologata LTF 1,
A36.,,In timpul manvrei URECHI este permis:,
,a.,sa folositi balansarea laterala pentru controlul pe directie,X
,b.,sa actionati speedul,X
,c.,sa executati si B stall pentru o coborare mai eficienta,
A37.,,Controlul traiectoriei in timpul spiralarii se face:,
,a.,exclusiv folosind comenzile,
,b.,exclusiv folosind balansarea laterala a corpului comenzile fiind mentinute la 50% din cursa pentru a obtine o infundare minima,
,c.,folosind balansarea laterala a corpului si comenzile,X
A38.,,"In cazul inchiderii asimetrice, procedura de recuperare este:",
,a.,"balansarea laterala a corpului, incarcand aripa deschisa, corijarea moderata a directiei folosind comanda de pe aripa deschisa si pomparea aripii inchise",X
,b.,balansarea laterala a corpului si eliberarea completa a ambelor comenzi,
,c.,"pomparea energica a aripii inchise folosind comanda, si eliberarea compleata a comenzii de pe aripa deschisa",
A39.,,Ce fenomene se regasesc in timpul inchiderii asimetrice:,
,a.,cresterea rezistentei la inaintare a aripii inchise,X
,b.,lipsa de comanda corespunzatoare aripii inchise,
,c.,tendinta de viraj a parapantei pe partea aripii inchise,X
A40.,,"In timpul virajului, la atingerea unghiului critic, parapanta va intra in :",
,a.,deepstall,
,b.,vrie (negativa),X
,c.,spirala picata,
A41.,,"In urma unei inchideri asimetrice majore, peste 50%, observati ca suspantele sunt rasucite (twist). Care este manevra corecta:",
,a.,lansarea imediata a rezervei,X
,b.,inclinarea corpului pe exteriorul spiralei si dezrasucirea imediata,
,c.,dezrasucirea folosind chingile portsuspante fara a elibera comenzile,
